"filename", "language", "Go", "XML", "Go Checksum File", "comment", "blank", "total"
"d:\working\UniqueStudioNew\week3\clause\builder.go", "Go", 43, 0, 0, 6, 9, 58
"d:\working\UniqueStudioNew\week3\clause\clause.go", "Go", 10, 0, 0, 0, 3, 13
"d:\working\UniqueStudioNew\week3\dialect\dialect.go", "Go", 14, 0, 0, 0, 6, 20
"d:\working\UniqueStudioNew\week3\dialect\postgresql.go", "Go", 34, 0, 0, 0, 6, 40
"d:\working\UniqueStudioNew\week3\go.mod", "XML", 0, 19, 0, 0, 4, 23
"d:\working\UniqueStudioNew\week3\go.sum", "Go Checksum File", 0, 0, 177, 0, 1, 178
"d:\working\UniqueStudioNew\week3\lform.go", "Go", 39, 0, 0, 0, 5, 44
"d:\working\UniqueStudioNew\week3\schema\schema_test.go", "Go", 1, 0, 0, 0, 1, 2
"d:\working\UniqueStudioNew\week3\schema\shcema.go", "Go", 40, 0, 0, 0, 8, 48
"d:\working\UniqueStudioNew\week3\session\raw.go", "Go", 48, 0, 0, 0, 9, 57
"d:\working\UniqueStudioNew\week3\test\test.go", "Go", 30, 0, 0, 6, 6, 42
"Total", "-", 259, 19, 177, 12, 58, 525
